id,name,address,picture url,ig_location,beauty,art,architecture,vista,nature,open space,daytime,night,explore
100,Fort Point Overlook,"Fort Point Overlook, San Francisco, CA 94129",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1517359_620929661407347_624888979_n.jpg?ig_cache_key=MTIwOTExMTkyNjIxMzcwMjM5OQ%3D%3D.2,926917534,9,0,5,10,8,9,10,3,5
101,Lands End Trail,"Lands End Trail, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c247.0.586.586/12531153_854468611330130_538971429_n.jpg?ig_cache_key=MTIwOTIxNDEwMzY5NDYzMzY4OQ%3D%3D.2.c,90579,8,0,0,10,10,10,10,0,10
102,Twin Peaks Summit,"Twin Peaks Summit, 501 Twin Peaks Boulevard, San Francisco, CA 94114",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c241.0.597.597/12139584_1484055468590811_383100891_n.jpg?ig_cache_key=MTEwODk2MTM1MDIyNDM1ODI4Nw%3D%3D.2.c,1003299706,7,0,5,10,5,7,8,9,2
103,Bernal Heights Park,"10 Bernal Heights Blvd, San Francisco, CA 94110",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826218_1689015558053290_1136123522_n.jpg?ig_cache_key=MTIwOTExNjkyNDg1OTU3NDI5Nw%3D%3D.2,213322722,7,0,1,10,8,10,10,4,7
104,Mission Dolores Park,"Mission Dolores Park, 19th & Dolores St, San Francisco, CA 94114",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1172979_974300005993947_1383159442_n.jpg?ig_cache_key=MTIwOTU1MDU1NTc5MDgwODEwNA%3D%3D.2,3000292,6,2,3,7,7,7,10,2,4
105,Crissy Field,"1199 E Beach, San Francisco, CA 94129",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12826110_1539839386312953_281070030_n.jpg?ig_cache_key=MTIwOTUwODY5NzI2MTg2NjIxOQ%3D%3D.2.c,209408689,7,2,4,10,10,10,10,2,10
106,Ocean Beach,Ocean Beach,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/10817814_180190949030316_1087374299_n.jpg?ig_cache_key=MTIwODQ1MTI2MDg0NzcxNzUzNQ%3D%3D.2.c,207869823,8,0,0,10,8,10,10,7,7
107,Palace of Fine Arts,"Palace of Fine Arts Theatre, 3301 Lyon Street, San Francisco, CA 94123",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826094_973759812713494_497640592_n.jpg?ig_cache_key=MTIwOTU3NzU2MzMxMzE1NDIxMQ%3D%3D.2,234372191,7,6,9,6,7,6,10,9,3
108,Ferry Building,"Ferry Building, 180 Howard Street, San Francisco, CA 94105",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.31.1080.1080/10349610_728900520578860_1154771412_n.jpg?ig_cache_key=MTIwODkxMzIxOTcyNzMxMDIyNQ%3D%3D.2.c,673,7,1,8,10,5,4,10,9,7
109,Alamo Square,"Alamo Square, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12338437_1706995792873260_148444126_n.jpg?ig_cache_key=MTIwODQwNTU5MzczNjA1MDk1MA%3D%3D.2.c,1036,7,1,8,9,6,6,10,8,3
110,Coit Tower,"Coit Tower, 1 Telegraph Hill Boulevard, San Francisco, CA 94133",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1171981_102697150129387_2140030179_n.jpg?ig_cache_key=MTIwOTQ0MDc1NzEzMDk3MjE2Mg%3D%3D.2,213421122,7,6,8,8,6,5,9,7,6
111,Tank Hill,"2 Belgrave Ave, San Francisco, CA 94117",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/1169127_1672088023058279_417846652_n.jpg?ig_cache_key=MTIwNjE5NDQyNDA0MDcyNjQ2OA%3D%3D.2.c,215571808,6,0,4,10,9,7,9,7,2
112,Lady with Apples,"700 Polk Street, San Francisco, CA 94109",https://s-media-cache-ak0.pinimg.com/564x/32/b7/cf/32b7cfbcf99120890306086b3cc5a994.jpg,,7,10,1,1,0,0,10,0,0
113,Grand View Park,"Grand View Park, San Francisco, CA 94122",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11925684_867655596658030_408211881_n.jpg?ig_cache_key=MTA2ODk4MTk5MTIzOTI5ODI1Nw%3D%3D.2.c,869689177,7,0,3,10,10,9,10,2,0
114,Cupid's Span,"Cupid's Span, 7th Street, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12677280_496552367197998_2114467009_n.jpg?ig_cache_key=MTE4MjA3ODYwNDQ0Nzk4NzQ5OA%3D%3D.2.c,,7,9,8,10,5,5,10,10,5
115,Filbert Steps,"Filbert, San Francisco, CA 94133",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10499037_165186220538917_645416689_n.jpg?ig_cache_key=MTIwOTEwMTk3MzA0NTQ3NTY0Mw%3D%3D.2,98627,5,0,3,5,5,5,10,0,2
116,Lyon Street Steps,"Lyon Street Steps, Broadway & Lyon Street, San Francisco, CA 94115",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12798015_977532112336899_268809616_n.jpg?ig_cache_key=MTIwOTA0MjU1NjE4OTQ2MDkwNA%3D%3D.2.c,30436,9,1,9,9,5,4,10,7,3
117,Sutro Heights Park,Sutro Heights Park,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12816951_514003218779273_1482208679_n.jpg?ig_cache_key=MTIwODk4NTM3NzI4NDc4MDAxMA%3D%3D.2.c,889368924,9,0,2,10,10,9,10,2,7
118,Buena Vista Park,Buena Vista Park,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10387930_205652173127671_1201375180_n.jpg?ig_cache_key=MTIwNTkzMDgzNzk2NTM4NDg0NQ%3D%3D.2,259434049,7,0,2,10,8,7,10,0,4
119,Corona Heights Park,Corona Heights Park,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.810.810/12797756_1529478217347818_1062922049_n.jpg?ig_cache_key=MTIwNjEzMzAxNzU1NDAwNTYzOA%3D%3D.2.c,851845775,7,0,2,10,8,7,10,0,4
120,The 16th Avenue Tiled Steps,16th Avenue Tiled Steps,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12142490_1067404029945664_1238402333_n.jpg?ig_cache_key=MTA5MzAxMDM0Mjc3MjAzMTg1Nw%3D%3D.2,1008993566,9,9,3,5,5,5,10,0,2
121,Embarcadero,,,,,,,,,,,,
122,Yerba Buena Gardens,"750 Howard St, San Francisco, CA 94103",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c257.0.565.565/12748232_777931122322099_1219095101_n.jpg?ig_cache_key=MTE5MDMyOTI2MTk5MTQyODkzMw%3D%3D.2.c,406581871,10,8,8,7,6,6,10,8,7
