name,address,picture url,ig_location,beauty,art,architecture,vista,nature,open space,daytime,night,explore
Lady with Apples,"700 Polk Street, San Francisco, CA 94109",https://s-media-cache-ak0.pinimg.com/564x/32/b7/cf/32b7cfbcf99120890306086b3cc5a994.jpg,,7,10,1,1,0,0,10,0,0
Grand View Park,"Grand View Park, San Francisco, CA 94122",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.135.1080.1080/11925684_867655596658030_408211881_n.jpg?ig_cache_key=MTA2ODk4MTk5MTIzOTI5ODI1Nw%3D%3D.2.c,869689177,7,0,3,10,10,9,10,2,0
Pier 70 - Industrial Rust,"70 Pier, San Francisco, 94107",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/11906317_1733701846857872_770805625_n.jpg?ig_cache_key=MTA3NjE2MjYwMjAzMDM0NDQzMg%3D%3D.2,pier70sf,6,1,9,8,4,4,10,6,1
Twin Peaks Summit,"Twin Peaks Summit, 501 Twin Peaks Boulevard, San Francisco, CA 94114",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/e35/c241.0.597.597/12139584_1484055468590811_383100891_n.jpg?ig_cache_key=MTEwODk2MTM1MDIyNDM1ODI4Nw%3D%3D.2.c,1003299706,7,0,5,10,5,7,8,9,2
Tank Hill,"2 Belgrave Ave, San Francisco, CA 94117",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/1169127_1672088023058279_417846652_n.jpg?ig_cache_key=MTIwNjE5NDQyNDA0MDcyNjQ2OA%3D%3D.2.c,215571808,6,0,4,10,9,7,9,7,2
Filbert Steps,"Filbert, San Francisco, CA 94133",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/10499037_165186220538917_645416689_n.jpg?ig_cache_key=MTIwOTEwMTk3MzA0NTQ3NTY0Mw%3D%3D.2,98627,5,0,3,5,5,5,10,0,2
The 16th Avenue Tiled Steps,16th Avenue Tiled Steps,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12142490_1067404029945664_1238402333_n.jpg?ig_cache_key=MTA5MzAxMDM0Mjc3MjAzMTg1Nw%3D%3D.2,1008993566,9,9,3,5,5,5,10,0,2
Palace of Fine Arts,"Palace of Fine Arts Theatre, 3301 Lyon Street, San Francisco, CA 94123",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/12826094_973759812713494_497640592_n.jpg?ig_cache_key=MTIwOTU3NzU2MzMxMzE1NDIxMQ%3D%3D.2,234372191,7,6,9,6,7,6,10,9,3
Alamo Square,"Alamo Square, San Francisco, CA",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c0.134.1080.1080/12338437_1706995792873260_148444126_n.jpg?ig_cache_key=MTIwODQwNTU5MzczNjA1MDk1MA%3D%3D.2.c,1036,7,1,8,9,6,6,10,8,3
Lyon Street Steps,"Lyon Street Steps, Broadway & Lyon Street, San Francisco, CA 94115",https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/c135.0.809.809/12798015_977532112336899_268809616_n.jpg?ig_cache_key=MTIwOTA0MjU1NjE4OTQ2MDkwNA%3D%3D.2.c,30436,9,1,9,9,5,4,10,7,3
Potrero View,1300 19th Street,https://scontent-lga3-1.cdninstagram.com/t51.2885-15/s640x640/sh0.08/e35/1173242_202747896759286_1836880436_n.jpg?ig_cache_key=MTIwOTA3MDYyNDIzMDMwNzMzMg%3D%3D.2,8267584,8,1,6,10,5,4,10,10,3
